Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (1 t);Høyeste middelvind (1 t);Høyeste vindkast (1 t)
Bergen - Florida;SN50540;08.12.2023 16:00;0,5;1,4;2,4
Bergen - Florida;SN50540;08.12.2023 17:00;0,2;1,8;3,5
Bergen - Florida;SN50540;08.12.2023 18:00;0,4;2,1;2,8
Bergen - Florida;SN50540;08.12.2023 19:00;-0,2;2;3,2
Bergen - Florida;SN50540;08.12.2023 20:00;-0,2;2,2;3,5
Bergen - Florida;SN50540;08.12.2023 21:00;-0,1;1,9;2,6
Bergen - Florida;SN50540;08.12.2023 22:00;-0,1;1,8;2,5
Bergen - Florida;SN50540;08.12.2023 23:00;0;1,6;2,4
Bergen - Florida;SN50540;09.12.2023 00:00;0,2;4,9;8,4
Bergen - Florida;SN50540;09.12.2023 01:00;1,8;6,7;8,9
Bergen - Florida;SN50540;09.12.2023 02:00;1;3,5;5,5
Bergen - Florida;SN50540;09.12.2023 03:00;0,9;2,4;5,2
Bergen - Florida;SN50540;09.12.2023 04:00;0,8;5,8;9,9
Bergen - Florida;SN50540;09.12.2023 05:00;3,1;6,2;9,3
Bergen - Florida;SN50540;09.12.2023 06:00;3;4;7,3
Bergen - Florida;SN50540;09.12.2023 07:00;1,9;4,4;6,6
Bergen - Florida;SN50540;09.12.2023 08:00;1;3,4;5,1
Bergen - Florida;SN50540;09.12.2023 09:00;0,9;1,3;2,9
Bergen - Florida;SN50540;09.12.2023 10:00;0,6;1,2;2,2
Bergen - Florida;SN50540;09.12.2023 11:00;0,8;2,1;4,6
Bergen - Florida;SN50540;09.12.2023 12:00;2;4,6;9
Bergen - Florida;SN50540;09.12.2023 13:00;4,9;5;7,8
Bergen - Florida;SN50540;09.12.2023 14:00;3,3;5,1;7
Bergen - Florida;SN50540;09.12.2023 15:00;3,4;1,1;2,4
Bergen - Florida;SN50540;09.12.2023 16:00;3,6;5,3;8,9
Bergen - Florida;SN50540;09.12.2023 17:00;4,7;5,4;7,9
Bergen - Florida;SN50540;09.12.2023 18:00;4,6;6,5;9,4
Bergen - Florida;SN50540;09.12.2023 19:00;4,6;7,1;9,9
Bergen - Florida;SN50540;09.12.2023 20:00;5,2;5,1;8,6
Bergen - Florida;SN50540;09.12.2023 21:00;5,5;4,1;7,3
Bergen - Florida;SN50540;09.12.2023 22:00;5,5;4,2;8,2
Bergen - Florida;SN50540;09.12.2023 23:00;4,9;3,3;5,6
Bergen - Florida;SN50540;10.12.2023 00:00;5,1;5;8,9
Bergen - Florida;SN50540;10.12.2023 01:00;5,6;5,1;11,3
Bergen - Florida;SN50540;10.12.2023 02:00;5,6;7,2;11,9
Bergen - Florida;SN50540;10.12.2023 03:00;3,8;4,6;8,3
Bergen - Florida;SN50540;10.12.2023 04:00;3,2;2,1;2,9
Bergen - Florida;SN50540;10.12.2023 05:00;2,9;2,1;3
Bergen - Florida;SN50540;10.12.2023 06:00;2,5;2,2;2,9
Bergen - Florida;SN50540;10.12.2023 07:00;2,7;2;3,2
Bergen - Florida;SN50540;10.12.2023 08:00;2,7;2,2;3,6
