"map";"started_timestamp";"duration";"irl_duration";"game_id";"avg_elo";"num_players";"team_0_elo";"team_1_elo";"replay_enhanced";"leaderboard";"mirror";"patch";"raw_match_type";"game_type";"game_speed";"starting_age"
"coastal_forest";"2024/04/14 19:50:53";"1902.3";"1119";"306061448";"856,833333333333";"6";"852,000000000000";"861,666666666667";FALSE;"team_random_map";FALSE;"107882";"8";"random_map";"normal";"dark"
"fortress";"2024/04/14 18:44:39";"6419.2";"3776";"306043754";"878,500000000000";"6";"877,666666666667";"879,333333333333";FALSE;"team_random_map";FALSE;"107882";"8";"random_map";"normal";"dark"
"megarandom";"2024/04/14 07:52:59";"4090.2";"2406";"305915608";"855,333333333333";"6";"859,000000000000";"851,666666666667";FALSE;"team_random_map";FALSE;"107882";"8";"random_map";"normal";"dark"
"megarandom";"2024/04/16 20:56:09";"3687.3";"2169";"306493068";"797,500000000000";"4";"798,500000000000";"796,500000000000";FALSE;"team_random_map";FALSE;"107882";"7";"random_map";"normal";"dark"
"arabia";"2024/04/17 20:11:10";"1963.5";"1155";"306684173";"905,000000000000";"2";"894,000000000000";"916,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"socotra";"2024/04/17 13:02:13";"2119.9";"1247";"306607217";"925,500000000000";"2";"918,000000000000";"933,000000000000";FALSE;"random_map";TRUE;"107882";"6";"random_map";"normal";"dark"
"megarandom";"2024/04/17 19:42:03";"2662.2";"1566";"306678878";"805,000000000000";"4";"798,500000000000";"811,500000000000";FALSE;"team_random_map";FALSE;"107882";"7";"random_map";"normal";"dark"
"oasis";"2024/04/18 06:14:35";"3675.4";"2162";"306765986";"789,625000000000";"8";"790,500000000000";"788,750000000000";FALSE;"team_random_map";FALSE;"107882";"9";"random_map";"normal";"dark"
"oasis";"2024/04/18 12:08:56";"3464.6";"2038";"306798783";"799,250000000000";"4";"786,500000000000";"812,000000000000";FALSE;"team_random_map";FALSE;"107882";"7";"random_map";"normal";"dark"
"socotra";"2024/04/18 15:53:04";"1353.2";"796";"306836400";"927,000000000000";"2";"931,000000000000";"923,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"arabia";"2024/04/19 20:37:51";"1781.6";"1048";"307110705";"1033,000000000000";"2";"1031,000000000000";"1035,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"black_forest";"2024/04/19 21:09:35";"2247.4";"1322";"307118113";"1021,500000000000";"2";"1015,000000000000";"1028,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"arabia";"2024/04/19 18:54:33";"2442.9";"1437";"307086761";"878,333333333333";"6";"870,000000000000";"886,666666666667";FALSE;"team_random_map";FALSE;"107882";"8";"random_map";"normal";"dark"
"socotra";"2024/04/20 19:24:41";"2578.9";"1517";"307365285";"985,000000000000";"2";"963,000000000000";"1007,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"socotra";"2024/04/20 07:27:08";"2048.5";"1205";"307223340";"944,000000000000";"2";"947,000000000000";"941,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"arabia";"2024/04/20 17:30:14";"2857.7";"1681";"307338575";"979,000000000000";"2";"979,000000000000";"979,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"arabia";"2024/04/20 09:27:40";"2380";"1400";"307239378";"966,000000000000";"2";"963,000000000000";"969,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"arabia";"2024/04/08 18:37:50";"2879.8";"1694";"304706983";"1012,500000000000";"2";"1010,000000000000";"1015,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"fortress";"2024/04/09 18:51:49";"2323.9";"1367";"304917880";"952,000000000000";"2";"945,000000000000";"959,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"fortress";"2024/04/09 18:07:49";"2694.5";"1585";"304908984";"568,500000000000";"2";"565,000000000000";"572,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
"four_lakes";"2024/04/09 17:24:58";"3876";"2280";"304900715";"518,000000000000";"2";"493,000000000000";"543,000000000000";FALSE;"random_map";FALSE;"107882";"6";"random_map";"normal";"dark"
